SiteID,Date,Band1_Mean,Band2_Mean,Band3_Mean,Band4_Mean,Band5_Mean,PH
Agri_Land,21-06-2016 00:00,0.101935655,0.077566475,0.050032295,0.033633582,0.046686698,5.528
Agri_Land,13-07-2016 00:00,0.144956723,0.118053757,0.081608787,0.062957205,0.09045393,4.965714286
Agri_Land,17-08-2016 00:00,0.15561454,0.132421568,0.084776051,0.067863837,0.113320746,4.677142857
Agri_Land,31-08-2016 00:00,0.105144411,0.078764133,0.044758167,0.026490046,0.025841061,4.787142857
Agri_Land,08-09-2016 00:00,0.097517312,0.071143515,0.039887115,0.023161918,0.017791271,4.867142857
Agri_Land,19-09-2016 00:00,0.123924613,0.095153622,0.056356404,0.036371931,0.036388196,4.757142857
Agri_Land,29-09-2016 00:00,0.099646628,0.072565794,0.040108241,0.023096189,0.016904727,4.95
Agri_Land,09-01-2017 00:00,0.261829197,0.227601409,0.163027987,0.153874084,0.206479833,5.185
Agri_Land,10-01-2017 00:00,0.261829197,0.227601409,0.163027987,0.153874084,0.206479833,4.445
Agri_Land,15-02-2017 00:00,0.201156244,0.167418331,0.118595056,0.103632472,0.19751066,4.974285714
Agri_Land,01-03-2017 00:00,0.174921364,0.144576222,0.104628332,0.091432326,0.200608388,4.98
Agri_Land,08-03-2017 00:00,0.174921364,0.144576222,0.104628332,0.091432326,0.200608388,5.96
Agri_Land,30-03-2017 00:00,0.197190031,0.167290911,0.124850571,0.106844477,0.171264634,5.072857143
Agri_Land,06-04-2017 00:00,0.272899061,0.26172775,0.240525156,0.233734936,0.212826505,5.115714286
Agri_Land,18-04-2017 00:00,0.142740771,0.121012844,0.089201555,0.075772874,0.057367176,5.2
Agri_Land,26-06-2017 00:00,0.113608114,0.087397471,0.056404635,0.040330827,0.042217787,5.155714286
Agri_Land,04-07-2017 00:00,0.131341428,0.102049768,0.062768728,0.042023148,0.060827207,5.356666667
Agri_Land,17-07-2017 00:00,0.167273223,0.131962925,0.083731063,0.057386059,0.083592065,5.228333333
Agri_Land,10-08-2017 00:00,0.154896334,0.124690033,0.087595589,0.064682849,0.099539496,5.226666667
Agri_Land,24-08-2017 00:00,0.155070424,0.126908585,0.089936532,0.062764563,0.14276512,5.361428571
Agri_Land,03-10-2017 00:00,0.152118832,0.119914927,0.077169254,0.058109216,0.065602735,5.163333333
Agri_Land,09-11-2017 00:00,0.186016813,0.154871672,0.095730901,0.077312671,0.099702701,5.183333333
