Filename,Band1_Mean,Band2_Mean,Band3_Mean,Band4_Mean,Band5_Mean,Band6_Mean,Band7_Mean,Band8_Mean,Band9_Mean,Band10_Mean,Band11_Mean,Band12_Mean,Band13_Mean,Temperature
Agri_Land_Temperature_911_2021-08-01.tif_extracted.tif,1304.734875,1010.952521,795.5899371,552.7975257,501.8205329,458.4562662,461.3490647,385.0715049,423.9684267,127.8500951,9.422379683,280.9353456,230.5171408,14.44080556
Agri_Land_Temperature_911_2021-08-02.tif_extracted.tif,1304.734875,1010.952521,795.5899371,552.7975257,501.8205329,458.4562662,461.3490647,385.0715049,423.9684267,127.8500951,9.422379683,280.9353456,230.5171408,17.10626389
Agri_Land_Temperature_911_2021-08-03.tif_extracted.tif,1210.205245,898.4320059,657.9460198,378.9768676,322.8722761,270.1032433,258.0455958,214.4201121,205.4761746,87.96273362,9.617037627,75.45111082,55.74111823,16.84264583
Agri_Land_Temperature_911_2021-08-04.tif_extracted.tif,1210.205245,898.4320059,657.9460198,378.9768676,322.8722761,270.1032433,258.0455958,214.4201121,205.4761746,87.96273362,9.617037627,75.45111082,55.74111823,15.24065972
Agri_Land_Temperature_911_2021-08-05.tif_extracted.tif,1375.174502,1074.238929,817.9250437,552.7300456,484.9013994,446.6376819,441.5957442,366.6002986,389.8519319,112.8813201,9.52677651,209.1700747,154.9821341,13.577
Agri_Land_Temperature_911_2021-08-06.tif_extracted.tif,1375.174502,1074.238929,817.9250437,552.7300456,484.9013994,446.6376819,441.5957442,366.6002986,389.8519319,112.8813201,9.52677651,209.1700747,154.9821341,13.22423611
Agri_Land_Temperature_911_2021-08-07.tif_extracted.tif,1375.174502,1074.238929,817.9250437,552.7300456,484.9013994,446.6376819,441.5957442,366.6002986,389.8519319,112.8813201,9.52677651,209.1700747,154.9821341,13.68696528
Agri_Land_Temperature_911_2021-08-08.tif_extracted.tif,1343.667647,1028.403833,764.0953415,488.4654711,421.7099731,377.3544499,368.0427328,324.0786897,314.9595546,104.2547193,9.714682989,161.9636885,115.3708877,13.81986806
Agri_Land_Temperature_911_2021-08-09.tif_extracted.tif,1343.667647,1028.403833,764.0953415,488.4654711,421.7099731,377.3544499,368.0427328,324.0786897,314.9595546,104.2547193,9.714682989,161.9636885,115.3708877,13.20861806
Agri_Land_Temperature_911_2021-08-10.tif_extracted.tif,1493.024773,1168.872709,871.7246012,595.0863006,514.9343181,481.4170642,473.5624848,428.9574101,416.8318845,111.8166339,9.73985835,223.6921806,152.4381153,13.48766667
Agri_Land_Temperature_911_2021-08-11.tif_extracted.tif,1493.024773,1168.872709,871.7246012,595.0863006,514.9343181,481.4170642,473.5624848,428.9574101,416.8318845,111.8166339,9.73985835,223.6921806,152.4381153,13.95065278
Agri_Land_Temperature_911_2021-08-12.tif_extracted.tif,1493.024773,1168.872709,871.7246012,595.0863006,514.9343181,481.4170642,473.5624848,428.9574101,416.8318845,111.8166339,9.73985835,223.6921806,152.4381153,13.72906944
Agri_Land_Temperature_911_2021-08-13.tif_extracted.tif,1493.024773,1168.872709,871.7246012,595.0863006,514.9343181,481.4170642,473.5624848,428.9574101,416.8318845,111.8166339,9.73985835,223.6921806,152.4381153,12.95823611
Agri_Land_Temperature_911_2021-08-14.tif_extracted.tif,1493.024773,1168.872709,871.7246012,595.0863006,514.9343181,481.4170642,473.5624848,428.9574101,416.8318845,111.8166339,9.73985835,223.6921806,152.4381153,12.90152083
Agri_Land_Temperature_911_2021-08-18.tif_extracted.tif,1553.458921,1240.296792,948.6009347,663.9480138,580.361372,565.6093057,571.577691,466.3293411,516.2702188,111.7205642,6.146284389,248.8590268,163.9774079,12.55719444
Agri_Land_Temperature_911_2021-08-19.tif_extracted.tif,1553.458921,1240.296792,948.6009347,663.9480138,580.361372,565.6093057,571.577691,466.3293411,516.2702188,111.7205642,6.146284389,248.8590268,163.9774079,13.03306944
Agri_Land_Temperature_911_2021-08-20.tif_extracted.tif,1243.801364,928.620056,662.1491451,366.2705732,301.2491447,264.9778094,256.0647913,209.1372176,204.5367104,70.73396878,7.060095488,66.54288946,42.95274794,13.5818125
Agri_Land_Temperature_911_2021-08-21.tif_extracted.tif,1243.801364,928.620056,662.1491451,366.2705732,301.2491447,264.9778094,256.0647913,209.1372176,204.5367104,70.73396878,7.060095488,66.54288946,42.95274794,13.87755556
Agri_Land_Temperature_911_2021-08-22.tif_extracted.tif,1243.801364,928.620056,662.1491451,366.2705732,301.2491447,264.9778094,256.0647913,209.1372176,204.5367104,70.73396878,7.060095488,66.54288946,42.95274794,14.00679167
Agri_Land_Temperature_911_2021-08-23.tif_extracted.tif,1243.801364,928.620056,662.1491451,366.2705732,301.2491447,264.9778094,256.0647913,209.1372176,204.5367104,70.73396878,7.060095488,66.54288946,42.95274794,14.30560417
Agri_Land_Temperature_911_2021-08-24.tif_extracted.tif,1243.801364,928.620056,662.1491451,366.2705732,301.2491447,264.9778094,256.0647913,209.1372176,204.5367104,70.73396878,7.060095488,66.54288946,42.95274794,14.45655556
Agri_Land_Temperature_911_2021-08-25.tif_extracted.tif,1243.801364,928.620056,662.1491451,366.2705732,301.2491447,264.9778094,256.0647913,209.1372176,204.5367104,70.73396878,7.060095488,66.54288946,42.95274794,14.42602778
Agri_Land_Temperature_911_2021-08-26.tif_extracted.tif,1243.801364,928.620056,662.1491451,366.2705732,301.2491447,264.9778094,256.0647913,209.1372176,204.5367104,70.73396878,7.060095488,66.54288946,42.95274794,14.49675
Agri_Land_Temperature_911_2021-08-27.tif_extracted.tif,1243.801364,928.620056,662.1491451,366.2705732,301.2491447,264.9778094,256.0647913,209.1372176,204.5367104,70.73396878,7.060095488,66.54288946,42.95274794,14.42520833
Agri_Land_Temperature_911_2021-08-28.tif_extracted.tif,1243.801076,928.6066225,662.1426572,366.2684898,301.2328806,264.6236419,255.5732382,208.9245199,204.0068505,70.6413893,7.060244628,66.32038878,42.96054947,13.82757639
Agri_Land_Temperature_911_2021-08-29.tif_extracted.tif,1243.801076,928.6066225,662.1426572,366.2684898,301.2328806,264.6236419,255.5732382,208.9245199,204.0068505,70.6413893,7.060244628,66.32038878,42.96054947,13.65765972
Agri_Land_Temperature_911_2021-09-02.tif_extracted.tif,1173.500312,897.8855524,679.8409405,450.8911148,396.3218614,346.152681,340.0936936,285.4498684,300.7822502,107.8178031,7.195626564,168.1670258,150.8305191,13.89321528
Agri_Land_Temperature_911_2021-09-03.tif_extracted.tif,1173.500312,897.8855524,679.8409405,450.8911148,396.3218614,346.152681,340.0936936,285.4498684,300.7822502,107.8178031,7.195626564,168.1670258,150.8305191,14.72176389
Agri_Land_Temperature_911_2021-09-04.tif_extracted.tif,1189.978569,893.9952177,650.4687752,402.6441341,344.6532047,289.6500376,277.5089492,232.4001077,234.6102824,89.33896732,7.103358515,114.7495437,98.320134,15.20559028
Agri_Land_Temperature_911_2021-09-05.tif_extracted.tif,1189.978569,893.9952177,650.4687752,402.6441341,344.6532047,289.6500376,277.5089492,232.4001077,234.6102824,89.33896732,7.103358515,114.7495437,98.320134,14.23223611
Agri_Land_Temperature_911_2021-09-06.tif_extracted.tif,1189.978569,893.9952177,650.4687752,402.6441341,344.6532047,289.6500376,277.5089492,232.4001077,234.6102824,89.33896732,7.103358515,114.7495437,98.320134,15.46795139
Agri_Land_Temperature_911_2021-09-07.tif_extracted.tif,1254.91169,976.6947427,751.8778611,520.660399,462.5843718,413.907181,413.199835,351.6794674,376.8834704,118.101001,6.970789713,244.7867795,196.636928,15.50697222
Agri_Land_Temperature_911_2021-09-08.tif_extracted.tif,1254.91169,976.6947427,751.8778611,520.660399,462.5843718,413.907181,413.199835,351.6794674,376.8834704,118.101001,6.970789713,244.7867795,196.636928,16.72922222
Agri_Land_Temperature_911_2021-09-09.tif_extracted.tif,1254.91169,976.6947427,751.8778611,520.660399,462.5843718,413.907181,413.199835,351.6794674,376.8834704,118.101001,6.970789713,244.7867795,196.636928,15.53922222
Agri_Land_Temperature_911_2021-09-10.tif_extracted.tif,1254.91169,976.6947427,751.8778611,520.660399,462.5843718,413.907181,413.199835,351.6794674,376.8834704,118.101001,6.970789713,244.7867795,196.636928,17.7823125
Agri_Land_Temperature_911_2021-09-11.tif_extracted.tif,1254.91169,976.6947427,751.8778611,520.660399,462.5843718,413.907181,413.199835,351.6794674,376.8834704,118.101001,6.970789713,244.7867795,196.636928,20.78454861
Agri_Land_Temperature_911_2021-09-12.tif_extracted.tif,1205.391519,889.7941122,623.5711933,361.6195496,303.7997335,249.9637165,236.7701203,196.9212479,195.468422,74.81767359,6.419976763,91.07045175,77.84047977,22.59470833
Agri_Land_Temperature_911_2021-09-13.tif_extracted.tif,1205.391519,889.7941122,623.5711933,361.6195496,303.7997335,249.9637165,236.7701203,196.9212479,195.468422,74.81767359,6.419976763,91.07045175,77.84047977,21.86990278
Agri_Land_Temperature_911_2021-09-14.tif_extracted.tif,1193.603605,928.7156738,706.8444988,465.451627,408.894535,361.9140153,357.9873518,304.1441405,321.6875324,102.1488825,5.99876711,204.8924654,160.4133033,18.97960417
Agri_Land_Temperature_911_2021-09-15.tif_extracted.tif,1193.603605,928.7156738,706.8444988,465.451627,408.894535,361.9140153,357.9873518,304.1441405,321.6875324,102.1488825,5.99876711,204.8924654,160.4133033,19.73361111
Agri_Land_Temperature_911_2021-09-16.tif_extracted.tif,1193.603605,928.7156738,706.8444988,465.451627,408.894535,361.9140153,357.9873518,304.1441405,321.6875324,102.1488825,5.99876711,204.8924654,160.4133033,18.58441667
Agri_Land_Temperature_911_2021-09-17.tif_extracted.tif,1082.814974,810.1660772,590.5496759,341.2098803,287.7021453,241.8722996,229.5126775,191.8530882,190.0046836,73.7028507,5.093657998,88.26752637,76.88573697,17.22263194
Agri_Land_Temperature_911_2021-09-18.tif_extracted.tif,1082.814974,810.1660772,590.5496759,341.2098803,287.7021453,241.8722996,229.5126775,191.8530882,190.0046836,73.7028507,5.093657998,88.26752637,76.88573697,16.97315278
Agri_Land_Temperature_911_2021-09-19.tif_extracted.tif,1082.814974,810.1660772,590.5496759,341.2098803,287.7021453,241.8722996,229.5126775,191.8530882,190.0046836,73.7028507,5.093657998,88.26752637,76.88573697,16.45680556
Agri_Land_Temperature_911_2021-09-20.tif_extracted.tif,1082.814974,810.1660772,590.5496759,341.2098803,287.7021453,241.8722996,229.5126775,191.8530882,190.0046836,73.7028507,5.093657998,88.26752637,76.88573697,16.22275694
Agri_Land_Temperature_911_2021-09-21.tif_extracted.tif,1082.814974,810.1660772,590.5496759,341.2098803,287.7021453,241.8722996,229.5126775,191.8530882,190.0046836,73.7028507,5.093657998,88.26752637,76.88573697,17.00938194
Agri_Land_Temperature_911_2021-09-22.tif_extracted.tif,1204.349941,1000.215542,884.0135878,503.4577401,424.6175823,283.0989959,274.0226696,224.0617414,215.0408246,68.05263417,4.578586933,95.46847283,82.88717682,18.81035417
Agri_Land_Temperature_911_2021-09-23.tif_extracted.tif,1204.349941,1000.215542,884.0135878,503.4577401,424.6175823,283.0989959,274.0226696,224.0617414,215.0408246,68.05263417,4.578586933,95.46847283,82.88717682,21.52409722
Agri_Land_Temperature_911_2021-09-24.tif_extracted.tif,1204.35429,1000.248227,884.0411237,503.4830831,424.6390516,283.1202052,274.0418099,224.0816394,215.061903,68.05316598,4.578898023,95.4894592,82.90166452,21.31944444
