SiteID,Date,Band1_Mean,Band2_Mean,Band3_Mean,Band4_Mean,Band5_Mean,Band6_Mean,Band7_Mean,Band8_Mean,Band9_Mean,Band10_Mean,Band11_Mean,Band12_Mean,Band13_Mean,TP
Agri_Land_TP,29-08-2018 00:00,1040.0523,713.4916565,453.0392755,265.2610908,241.9729345,275.0789581,283.52849,246.3854294,233.1438746,114.0527066,7.914936915,80.1994302,47.31400081,0.257
Agri_Land_TP,26-09-2018 00:00,1064.936765,736.7670499,456.1451529,264.8688268,246.7044683,276.1754638,275.8474001,238.4455187,231.9325843,103.8991377,7.80820486,71.61588712,36.71426705,0.241285714
Agri_Land_TP,16-04-2019 00:00,3970.038804,4341.692733,4217.792938,4211.500494,3959.491732,3706.877923,3393.348771,3150.934515,3058.583767,1220.148758,36.56156532,264.1201001,180.2492259,0.086285714
Agri_Land_TP,04-06-2019 00:00,1007.950333,697.5743849,465.1416418,287.8365141,279.1085307,312.8588181,313.3030582,271.6068062,270.5088526,120.2568407,7.042768453,127.5357553,86.39917222,0.154
Agri_Land_TP,11-06-2019 00:00,1007.950333,697.5743849,465.1416418,287.8365141,279.1085307,312.8588181,313.3030582,271.6068062,270.5088526,120.2568407,7.042768453,127.5357553,86.39917222,0.1725
Agri_Land_TP,31-07-2019 00:00,1293.222222,1071.583333,820.0,617.3333333,506.7222222,646.6111111,685.4444444,882.5555556,574.3333333,250.0555556,17.66666667,270.1388889,137.25,0.249
Agri_Land_TP,17-09-2019 00:00,1081.998283,751.6716469,476.3614975,278.9927872,262.974927,306.7619784,310.2388803,262.3999657,258.3123819,89.26360982,9.17087412,76.09359437,36.71732784,0.241
Agri_Land_TP,23-10-2019 00:00,1204.99462,864.9206787,562.1921644,385.2241689,371.7765209,380.7656228,377.5195199,351.5119327,353.618706,225.1774038,79.37315492,198.9152987,138.2185129,0.173833333
Agri_Land_TP,11-03-2020 00:00,5516.418238,6367.669735,6111.387403,6764.876808,6490.357299,6684.357446,6595.834429,6772.729797,6454.658337,3523.756247,59.88411515,655.1848604,588.9228409,0.098666667
Agri_Land_TP,27-08-2021 00:00,1154.0,886.5,719.5,514.0,380.0,529.0,577.0,677.5,496.0,220.5,11.0,183.0,78.5,0.646741667
Agri_Land_TP,08-12-2021 00:00,2080.572674,2073.005814,1593.851744,1407.212209,1275.011628,1353.401163,1325.956395,1640.369186,1248.741279,506.2877907,19.11918605,607.0784884,354.4040698,0.089075
Agri_Land_TP,01-09-2016 00:00,1138.0,815.5,573.75,364.25,367.0,408.0,431.0,457.25,315.0,283.0,63.0,204.0,103.0,0.1342
Agri_Land_TP,07-06-2017 00:00,1180.0,853.0,630.0,427.0,406.0,513.0,495.0,540.0,424.0,159.0,6.0,240.0,138.0,0.118
